WP	WO	TC	sequence	scope	est-min
OH-LZK/H-21 C04	5570419		1	MECH-EXT	10.000000
OH-LZK/H-21 C04	5570419		3	MECH-EXT	1.500000
OH-LZK/H-21 C04	5570421		1	LAK	11.000000
OH-LZK/H-21 C04	5570423		1	LAK	8.000000
OH-LZK/H-21 C04	5570425		1	KLE	7.000000
OH-LZK/H-21 C04	5570424		1	MECH-ENG	6.000000
OH-LZK/H-21 C04	5570024		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570024		1	SHM	12.000000
OH-LZK/H-21 C04	5570025		1	AVIO	1.500000
OH-LZK/H-21 C04	5570036		1	MECH-ENG	6.000000
OH-LZK/H-21 C04	5570036		4	SHM	6.000000
OH-LZK/H-21 C04	5570857		1	SHM	2.000000
OH-LZK/H-21 C04	5570857		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570428		1	KLE	7.000000
OH-LZK/H-21 C04	5570429		1	KLE	16.000000
OH-LZK/H-21 C04	5570433		1	KLE	16.000000
OH-LZK/H-21 C04	5570436		1	MECH-EXT	1.000000
OH-LZK/H-21 C04	5570437		1	MECH-EXT	1.000000
OH-LZK/H-21 C04	5570438		1	MECH-ENG	4.000000
OH-LZK/H-21 C04	5570439		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570442		1	MECH-EXT	1.500000
OH-LZK/H-21 C04	5570445		1	MECH-EXT	5.000000
OH-LZK/H-21 C04	5570450		1	MECH-EXT	1.500000
OH-LZK/H-21 C04	5570452		1	MECH-EXT	4.000000
OH-LZK/H-21 C04	5570043		1	MECH-ENG	6.000000
OH-LZK/H-21 C04	5570043		4	SHM	12.000000
OH-LZK/H-21 C04	5570042		1	MECH-EXT	1.000000
OH-LZK/H-21 C04	5570045		1	MECH-EXT	1.000000
OH-LZK/H-21 C04	5570055		1	SHM	15.000000
OH-LZK/H-21 C04	5570055		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570057		1	SHM	15.000000
OH-LZK/H-21 C04	5570057		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570061		1	SHM	15.000000
OH-LZK/H-21 C04	5570061		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570062		1	SHM	15.000000
OH-LZK/H-21 C04	5570062		1	MECH-ENG	2.000000
OH-LZK/H-21 C04		712211-06-1	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		712212-02-1	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		712213-02-1	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		ZL-161-01-1	1	MECH-INT	0.500000
OH-LZK/H-21 C04		ZL-195-01-1	1	MECH-LDG	1.400000
OH-LZK/H-21 C04		ZL-200-02-3	1	SHM	4.000000
OH-LZK/H-21 C04		ZL-313-01-1	1	MECH-ENG	0.600000
OH-LZK/H-21 C04		ZL-311-01-1	1	MECH-EXT	1.000000
OH-LZK/H-21 C04		ZL-325-01-1	1	MECH-EXT	1.000000
OH-LZK/H-21 C04		ZL-415-01-2	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		ZL-500-03-1	1	MECH-EXT	2.600000
OH-LZK/H-21 C04		ZL-531-01-1	1	MECH-EXT	1.600000
OH-LZK/H-21 C04		ZL-532-01-1	1	MECH-EXT	1.400000
OH-LZK/H-21 C04		ZL-533-01-1	1	MECH-EXT	1.200000
OH-LZK/H-21 C04		ZL-536-01-1	1	MECH-EXT	1.400000
OH-LZK/H-21 C04		ZL-573-01-1	1	MECH-EXT	1.000000
OH-LZK/H-21 C04		240000-05-1	1	AVIO	1.000000
OH-LZK/H-21 C04		250000-001	1	MECH-INT	5.000000
OH-LZK/H-21 C04		252100-006	1	SEAT	30.000000
OH-LZK/H-21 C04		252000-002	1	MECH-INT	11.000000
OH-LZK/H-21 C04		252000-004	1	PAINT	7.500000
OH-LZK/H-21 C04		252300-001	1	MECH-INT	6.333333
OH-LZK/H-21 C04		252200-001	1	UPH	3.000000
OH-LZK/H-21 C04		252800-002	1	UPH	5.000000
OH-LZK/H-21 C04		252700-001	1	SEAT	3.433333
OH-LZK/H-21 C04		240000-17-1	1	AVIO	0.916666
OH-LZK/H-21 C04		240000-13-1	1	AVIO	0.900000
OH-LZK/H-21 C04		240000-12-1	1	AVIO	1.000000
OH-LZK/H-21 C04		240000-16-1	1	AVIO	1.300000
OH-LZK/H-21 C04		242500-01-1	1	AVIO	0.416666
OH-LZK/H-21 C04		243200-01-1	1	AVIO	0.450000
OH-LZK/H-21 C04		252331-01-1	1	MECH-INT	2.000000
OH-LZK/H-21 C04		254000-01-1	1	MECH-INT	0.716666
OH-LZK/H-21 C04		255000-02-1	1	MECH-INT	1.500000
OH-LZK/H-21 C04		256535-01-1	1	AVIO	0.333333
OH-LZK/H-21 C04		262100-04-2	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		262300-06-1	1	AVIO	0.833333
OH-LZK/H-21 C04		262541-04-1	1	MECH-INT	0.633333
OH-LZK/H-21 C04		272100-08-1	1	MECH-EXT	1.183333
OH-LZK/H-21 C04		272400-05-1	1	MECH-EXT	1.333333
OH-LZK/H-21 C04		274451-05-1	1	MECH-EXT	1.000000
OH-LZK/H-21 C04		281247-01-1	1	MECH-EXT	0.650000
OH-LZK/H-21 C04		254000-003	1	MECH-INT	2.383333
OH-LZK/H-21 C04		255000-003	1	MECH-INT	2.450000
OH-LZK/H-21 C04		255000-002	1	MECH-INT	1.000000
OH-LZK/H-21 C04		279000-001	1	MECH-EXT	0.833333
OH-LZK/H-21 C04		291000-002 A	1	MECH-ENG	2.316666
OH-LZK/H-21 C04		291000-002	1	MECH-ENG	2.183333
OH-LZK/H-21 C04		462000-002	1	MECH-INT	2.000000
OH-LZK/H-21 C04		510000-001	1	SHM	10.000000
OH-LZK/H-21 C04		052000-001	1	MECH-EXT	0.833333
OH-LZK/H-21 C04		ZL-535-01-2	1	MECH-EXT	1.200000
OH-LZK/H-21 C04		ZL-537-01-2	1	MECH-EXT	1.800000
OH-LZK/H-21 C04		ZL-538-01-2	1	MECH-EXT	1.800000
OH-LZK/H-21 C04	5572346		1	MECH-LDG	3.000000
OH-LZK/H-21 C04	5572347		1	MECH-LDG	6.000000
OH-LZK/H-21 C04		292251-02-1	1	MECH-LDG	1.000000
OH-LZK/H-21 C04		303100-01-1	1	AVIO	0.883333
OH-LZK/H-21 C04		313300-03-1	1	AVIO	0.483333
OH-LZK/H-21 C04		321000-01-1	1	MECH-LDG	3.400000
OH-LZK/H-21 C04		321113-04-1	1	MECH-LDG	2.716666
OH-LZK/H-21 C04		322113-01-1	1	MECH-LDG	3.500000
OH-LZK/H-21 C04		322000-01-1	1	MECH-LDG	2.000000
OH-LZK/H-21 C04		323100-02-1	1	MECH-LDG	3.800000
OH-LZK/H-21 C04		323100-05-1	1	MECH-LDG	1.200000
OH-LZK/H-21 C04		324100-03-1	1	MECH-LDG	1.416666
OH-LZK/H-21 C04		324500-02-2	1	MECH-LDG	0.833333
OH-LZK/H-21 C04		341300-07-1	1	AVIO	2.000000
OH-LZK/H-21 C04		342200-02-1	1	AVIO	3.000000
OH-LZK/H-21 C04		342200-01-1	1	AVIO	0.316666
OH-LZK/H-21 C04		351241-01-1	1	MECH-INT	1.066666
OH-LZK/H-21 C04		344800-320	1	AVIO	1.500000
OH-LZK/H-21 C04		361100-06-1	1	MECH-ENG	1.333333
OH-LZK/H-21 C04		491300-A1-1	1	MECH-ENG	2.000000
OH-LZK/H-21 C04		122111-001	1	WASH	1.366666
OH-LZK/H-21 C04		113000-001	1	MECH-INT	1.866666
OH-LZK/H-21 C04		110000-006	1	MECH-EXT	3.500000
OH-LZK/H-21 C04		252800-003	1	MECH-INT	0.900000
OH-LZK/H-21 C04		252400-001	1	MECH-INT	6.800000
OH-LZK/H-21 C04	5572359		1	MECH-INT	0.666666
OH-LZK/H-21 C04		521000-01-1	1	MECH-INT	0.933333
OH-LZK/H-21 C04		521000-02-1	1	MECH-INT	3.000000
OH-LZK/H-21 C04		521000-04-1	1	MECH-INT	4.000000
OH-LZK/H-21 C04		521000-14-1	1	MECH-INT	1.800000
OH-LZK/H-21 C04		521121-02-1	1	MECH-INT	9.000000
OH-LZK/H-21 C04		521121-01-1	1	MECH-INT	3.500000
OH-LZK/H-21 C04		522200-01-1	1	MECH-INT	4.000000
OH-LZK/H-21 C04		522200-04-1	1	MECH-INT	2.016666
OH-LZK/H-21 C04		522200-03-1	1	MECH-INT	2.000000
OH-LZK/H-21 C04		523300-01-1	1	MECH-INT	0.833333
OH-LZK/H-21 C04		524100-02-1	1	MECH-INT	1.150000
OH-LZK/H-21 C04		527100-01-1	1	AVIO	1.000000
OH-LZK/H-21 C04		527300-01-1	1	AVIO	0.700000
OH-LZK/H-21 C04		531900-01-1	1	MECH-INT	1.000000
OH-LZK/H-21 C04		531900-03-1	1	MECH-EXT	1.566666
OH-LZK/H-21 C04		533154-05-1	1	MECH-LDG	0.833333
OH-LZK/H-21 C04		711300-03-1	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		ZL-147-02-1	1	MECH-LDG	0.800000
OH-LZK/H-21 C04		252600-001	1	UPH	3.650000
OH-LZK/H-21 C04		253000-002	1	MECH-INT	4.100000
